Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0.000000,649.841248,-168.212875,-49.926754,0.487061,2.476074,3.999878
0.104674,-783.630310,291.381836,356.384247,-0.362671,-1.391235,3.999878
0.262127,-529.113770,23.193357,-24.414061,1.932373,-3.999878,1.663574
0.420090,41.809078,-9.399414,-5.065917,0.120483,0.047974,0.980469
0.472708,-26.794432,7.141113,-6.958007,0.121216,-0.643799,0.740845
0.629423,647.033630,-220.520004,-215.515121,1.564209,-2.158813,3.941772
0.735284,689.697205,-122.680656,-284.606934,2.835815,4.000000,3.303833
0.840696,-672.668396,146.118164,306.640625,-0.428101,-1.321655,3.874634
0.945529,-350.158661,225.524887,195.556625,-3.644409,-3.994019,-1.868164
1.050459,1.098633,-8.728027,-1.464844,0.011475,0.122803,0.922363
1.207887,-19.653320,10.864257,-12.023925,-0.240845,-0.228394,1.001953
1.365315,611.755371,-64.758301,-324.523895,3.288940,-3.184326,3.939941
1.417511,711.425720,-28.686522,-232.482895,-0.786377,4.000000,3.879883
1.522907,-740.417419,130.859375,221.313461,0.084961,-1.784790,3.999878
1.680525,-356.384247,108.581535,241.760239,-1.430420,-3.999878,2.790039
1.785098,75.073242,-8.605957,1.831055,0.199463,0.068848,0.954468
1.890481,-7.934570,4.577637,-6.896972,0.083740,-0.070557,1.276489
1.995664,531.066895,-73.852539,-318.420410,2.910400,-2.958496,3.954224
2.152088,746.887146,-134.887695,-68.664551,1.316528,1.688110,3.999878
2.257432,-845.275818,100.891106,231.506332,0.532471,-1.256592,3.999878
2.362851,-535.522461,24.597166,139.587402,2.036743,-3.999878,3.592041
2.520516,102.416985,17.761230,13.977050,0.530396,-0.322021,0.776123
2.624207,-16.418457,0.183105,-3.967285,0.139282,-0.034546,1.184204
2.729927,531.250000,20.446775,-380.676239,3.445068,-3.561646,3.980469
2.887004,757.568298,-138.305664,-74.584961,1.365234,2.058960,3.999878
3.045112,-813.293396,130.737305,232.543930,0.949097,-1.358032,3.999878
3.097081,-585.632324,145.874023,80.566399,1.329590,-3.999878,2.780273
3.203015,88.439934,-12.084960,-14.648437,0.183228,0.135620,0.835938
3.307080,-18.371582,8.789062,-3.417969,0.142578,-0.105103,1.386230
3.465918,677.673279,-54.992672,-328.552216,3.163574,-3.186646,3.909790
3.624227,747.192322,-59.814449,-199.096664,2.260254,3.274170,3.999878
3.675402,-872.375427,162.109360,317.504883,0.419067,-2.187622,3.999878
3.885736,-462.951630,208.190903,282.348633,0.983398,-3.999878,3.729614
3.937265,112.487785,-3.479004,0.488281,0.496948,-0.338257,0.799683
4.042782,-8.056641,1.647949,0.122070,0.082642,0.009277,1.042236
4.148842,547.729492,-40.405270,-404.602020,3.821899,-3.863892,3.999878
4.305372,820.495544,-125.793449,-26.550291,1.106567,1.706909,3.999878
4.410984,-942.871033,-25.634764,244.567856,0.681030,-1.589722,3.999878
4.515143,-603.027344,122.863762,46.020504,2.727783,-3.999878,3.659302
4.671827,-16.296387,-94.177238,70.129395,0.397827,-0.614990,1.497803
4.777945,-0.488281,1.525879,-0.549316,0.149292,0.017212,1.001221
4.882878,265.197754,-6.408691,-273.437500,-0.965454,-3.942993,3.307373
5.041002,816.955505,-181.518539,44.799801,0.590332,-1.638672,3.999390
5.093082,-932.250916,-134.399414,182.128891,1.568115,-0.766968,2.641968
5.251020,-704.467712,181.213364,37.170410,2.559204,-2.464600,3.895874
5.356029,-307.189941,-522.277832,180.236801,-1.425903,1.974731,0.124390
5.460921,9.399414,-1.342773,3.967285,0.159668,0.000610,1.007080
5.618334,345.703094,309.204102,-229.125961,-0.517456,-3.952759,2.084229
5.723015,725.280701,-227.600082,8.544922,1.134521,-1.203613,3.998779
5.827481,-649.719177,-7.324218,-50.476070,2.649414,1.687378,1.916382
5.932850,-574.157715,193.542465,110.229485,1.562134,-1.071411,3.999878
6.091065,-195.556625,-332.885712,14.587401,0.515259,0.064453,2.585693
6.196377,17.761230,-4.699707,4.333496,0.143311,-0.037842,1.058594
6.300455,341.247528,331.787079,-209.960922,-1.225464,-3.999878,0.758057
6.404608,647.705017,-235.107407,-105.224602,1.470459,-1.904907,3.999878
6.562617,387.390106,-100.708000,-38.330078,1.830078,3.990356,3.664551
6.667096,-734.130798,74.462891,156.494141,0.284302,-1.135620,3.881104
6.773143,-86.791985,336.791962,-39.978027,0.047363,-3.497192,-0.286865
6.877988,2.441406,-12.145995,10.742187,0.161011,-0.032349,1.065674
7.035150,219.604477,268.554688,-154.724121,-2.141479,-3.999878,0.346191
7.140742,572.570801,-349.609344,-145.141602,2.170776,-1.831909,3.999878
7.245900,566.162109,-37.597656,-101.501457,3.051636,4.000000,2.995361
7.403640,-785.522400,65.063477,84.899895,-0.473267,-1.761353,3.983643
