Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0,604.614258,-198.791489,-144.897461,1.265259,1.809326,3.999878
0.119511,-782.104431,279.23584,224.060043,1.541382,-0.542114,3.999878
0.240129,-367.736786,22.216795,157.897949,1.39624,-3.999878,3.226685
0.36073,53.283688,-15.563964,-20.019531,0.071655,0.024048,1.026978
0.540068,99.182121,191.528305,-437.86618,1.445923,-3.999878,0.208862
0.600603,657.104431,-236.694321,-163.940414,1.668213,-0.809204,3.999878
0.720083,-598.022461,53.344723,-118.713371,4,3.789307,3.999878
0.839504,-693.176208,168.823227,-34.973145,1.389038,-2.920532,3.940918
0.959407,-30.09033,-58.227535,183.410629,-0.744751,1.219727,0.473511
1.080452,-23.132322,18.859863,-3.479004,0.153198,-0.00647,1.192749
1.199763,562.011719,-115.112297,-240.661606,1.40686,-2.197021,3.946167
1.320234,606.140137,-183.166489,-92.102043,0.942017,4,3.737793
1.439701,-876.647888,201.904282,236.999496,-0.224854,-2.185791,3.999878
1.559835,-216.247543,93.261711,206.542953,-0.849121,-3.964844,2.055786
1.680247,37.841797,0.732422,-28.442381,-0.106201,0.114746,0.928711
1.800676,155.334473,304.382324,-386.108368,1.582764,-3.999878,-1.039429
1.92044,676.940857,-181.64061,-161.926254,1.557739,-1.01123,3.999878
2.040705,-243.408188,37.902832,11.169433,2.581543,3.749146,3.999878
2.221187,-726.623474,116.08886,-59.448238,1.851196,-2.786255,3.999878
2.280335,-114.257805,-141.784668,230.52977,-0.00061,0.469604,0.784302
2.400304,-35.583496,32.836914,-14.09912,-0.586182,-1.337769,0.730713
2.519086,562.011719,-218.383774,-234.497055,1.369873,-2.262451,3.963745
2.639455,554.077148,-129.577637,-82.092278,1.418335,4,3.020508
2.759832,-883.727966,101.501457,189.819321,-0.367188,-1.468506,3.999878
2.880126,-92.224113,193.115219,190.917953,-2.070068,-3.659546,-0.320801
3.000809,10.253905,-2.990722,11.657714,0.116577,-0.016479,1.049316
3.119982,422.607391,75.866699,-135.620117,-0.600098,-3.829956,3.147217
3.24021,681.335388,-232.177719,-158.813477,1.729492,-0.436523,3.999146
3.360626,-581.176758,135.437012,165.344223,1.375122,2.606323,3.999878
3.479873,-726.379333,162.597641,22.094725,2.032959,-3.477539,3.987061
3.59911,-23.742674,-87.341301,148.376465,0.234009,-0.07019,1.052856
3.720422,-26.611326,20.019531,-2.380371,0.28894,-0.372437,1.598877
3.84074,588.745117,-100.158684,-274.658203,2.074829,-2.36853,3.929077
4.019996,608.825684,-133.850098,-138.549805,1.659546,3.58374,3.967285
4.079957,-902.465759,141.052246,197.936996,-0.655396,-2.350952,3.982178
4.199976,-345.397919,85.754387,188.659653,-1.482422,-3.962646,-0.427612
4.319523,20.38574,-4.821777,-8.605957,0.05188,0.020996,1.047974
4.560694,32.165527,98.69384,-109.436028,-0.996704,-3.999878,1.542969
4.56472,673.889099,-236.938461,-140.930176,1.946533,-1.781128,3.999878
4.740592,245.666489,-45.043941,-133.605957,3.022217,3.976807,3.666626
4.920249,-756.225525,6.103515,52.36816,0.386108,-1.092041,3.89502
4.923587,-164.12352,-361.755341,92.8955,-2.126709,0.572021,2.115723
5.040387,5.371093,1.770019,4.699707,0.109375,0.027466,1.004517
5.160809,728.637634,-29.663084,-221.679672,1.039062,-3.947266,3.999878
5.39892,746.154724,-199.035629,-110.41259,1.190308,-0.004517,3.999878
5.401836,-749.694763,216.308578,200.134262,1.459961,1.345825,3.999878
5.51978,-717.468201,213.256821,53.222652,3.659912,-3.999878,3.836914
5.640313,77.148438,-17.089844,21.118162,0.35437,-0.306641,1.282837
5.759807,-53.833004,45.104977,-17.150879,-0.588501,-2.276611,0.900146
5.879206,565.124512,-261.901855,-293.273926,2.762573,-1.926514,3.968994
5.999493,531.860352,-90.454094,-154.418945,1.591187,4,2.85791
6.119344,-857.910095,31.555174,120.727531,-0.681763,-1.633911,3.999878
6.240648,-30.578611,183.471664,74.829102,-2.655029,-3.15625,-0.33374
6.360078,12.451171,-6.835937,11.657714,0.144897,-0.050903,1.077515
6.479883,376.953094,180.541977,-208.679184,-0.466309,-3.913208,2.232544
6.600109,719.482361,-203.918442,-89.843742,1.147095,-0.873901,3.998779
6.780676,-624.145508,58.1665,146.179199,1.160278,2.651489,3.999878
6.840123,-700.927673,203.857407,11.901855,2.370483,-3.0896,3.999878
6.960134,86.303703,-9.94873,46.203609,0.314697,-0.215454,1.254761
7.079822,-50.964352,40.771481,-15.319823,0.295532,-0.413086,1.625122
7.200744,488.464325,-232.666,-378.784149,3.039185,-2.414062,3.936768
7.320331,515.075684,-146.789551,-146.850586,2.03772,2.795654,3.999878
7.439813,-871.398865,129.272461,106.323235,0.00769,-1.085205,3.982666
7.573059,-341.97995,62.683102,198.974594,-2.108276,-3.970825,-0.155884
7.679263,27.648924,9.460449,-23.620604,-0.028809,0.067993,0.987549
7.800311,53.466793,149.658203,-253.112778,-0.737549,-3.999878,0.81897
7.920652,607.788086,-271.42334,-102.966301,1.57312,-1.431396,3.999878
8.040437,335.632294,-126.03759,-103.576653,2.84314,4,1.785278
8.1602,-757.568298,37.780762,3.295898,0.279541,-1.226196,3.40686
8.280492,-171.874985,-314.63623,75.927734,-0.510742,0.392212,2.084717
8.40066,4.821777,-2.807617,11.169433,0.114136,0.034058,1.01001
8.520536,742.736755,62.255856,-277.160645,2.179443,-3.566162,3.999878
8.639867,669.189392,-202.636703,-97.473137,0.77832,-0.06604,3.999878
8.759886,-656.61615,86.486809,117.370598,1.140503,2.063721,3.999878
8.880211,-668.395935,247.558578,79.528809,2.834106,-3.999878,3.949829
9.000603,58.532711,-20.080564,54.504391,0.390747,-0.367798,1.338135
9.12101,-21.118162,16.967773,-7.019042,-0.012451,-0.295654,1.062134
9.238992,458.801239,-165.649399,-395.507782,3.021973,-2.192993,3.934814
9.358853,586.120605,-111.877434,-12.756347,-1.244507,3.722656,3.151123
9.47918,-753.967224,195.49559,119.018547,0.401123,-1.388062,3.8302
9.600373,-271.972656,0.12207,149.719238,-1.352173,-3.930542,0.092773
9.720048,7.995605,2.13623,3.723144,0.107544,-0.057861,1.088989
9.839583,278.869629,252.19725,-320.495605,-0.082764,-3.989502,-0.291748
9.959444,656.372009,-230.346664,-76.538086,1.089355,-1.892334,3.999634
10.079862,269.165039,-138.122559,-75.134277,3.23291,4,1.266357
10.199866,-826.660095,95.581047,32.958984,0.881836,-1.477051,3.999878
10.320519,-10.742187,11.291503,91.552727,-0.2323,-1.235474,1.179321
10.440581,5.004883,-3.723144,12.878417,0.10083,0.018921,1.012207
10.560251,492.858856,-23.071287,-253.96727,0.603516,-3.875488,3.999878
10.681497,747.314392,-192.138657,-11.901855,0.785034,-1.092651,3.999634
10.800237,-543.945312,6.286621,71.411133,1.194824,2.998413,3.999878
10.920619,-734.069763,167.602524,21.179197,1.770752,-2.849609,3.999878
11.04074,38.879395,-31.921385,124.511711,-0.161133,0.407227,0.856689
11.219246,-26.06201,21.606443,-4.150391,-0.13855,-0.637451,1.446533
11.2807,576.721191,-6.103515,-266.662598,1.691895,-2.02356,3.959229
11.460714,568.664551,-103.332512,-160.400391,1.568481,2.008423,3.999878
11.640296,-935.119568,70.800781,115.234367,0.008789,-1.02478,3.987671
